Благоприятные Белки,Благоприятные Овощи,Благоприятные Жиры,Благоприятные Фрукты,Благоприятные Крахмалы,Нежелательные Белки,Нежелательные Овощи,Нежелательные Жиры,Нежелательные Фрукты,Нежелательные Крахмалы
Чечевица,Брокколи,Кокосовое масло,Абрикос,Цельнозерновой Хлеб,Тунец,Горох,Сливки,Виноград,Овсяные хлопья 
Миндальное молоко,Апельсиновый перец,Грецкий орех,Яблоко,Киноа ,Куриное бедрышко,Капуста,,Груши,Лапша
Куриная грудка,Огурец,Миндаль,Вишня,,Лосось   ,Спаржа,,Бойзенова ягода,Цельнозерновой хлеб 
Яйца,Сельдерей,Авокадо,Лимон,,Йогурт   ,Лук репчатый,,Банан,Картофель
Индейка,Свекла,,Манго,,Бобы ,Лук-порей,,Апельсины,
Маш,Баклажан,,Мускусная дыня,,Телятина,Желтый перец ,,Персики,
Говядина,Кукуруза,,Маракуйя,,,Красный перец,,Инжир ,
Сывороточный протеин,Салат латук,,Тыква,,,,,Ананас,
,Грибы,,Клубника,,,,,,
,Кресс-салат,,Ежевика,,,,,,
,Ревень,,Изюм,,,,,,
,Шпинат,,Фейхоа,,,,,,
