Вареное приготовление,1,5,2,1,2,1,2,3,2,0,2,5
Тушеное приготовление,1,2,2,0,0,4,-1,2,2,1,-2,0
Йогурт,-1,1,2,1,2,0,2,-1,-2,0,2,-2
Ряженка,-3,-4,-2,0,-3,1,2,-1,-3,-2,0,-4
Речная рыба нежирная,4,2,2,5,2,4,1,4,1,4,0,5
Кальмары,1,2,1,2,0,2,0,2,3,2,0,2
Арбуз,1,2,0,2,0,1,2,1,2,1,2,0
Шпинат,1,4,1,5,2,5,3,1,3,2,1,0
Слива,-1,2,5,0,5,4,2,1,2,3,1,0
Черешня,5,1,2,1,3,1,2,4,5,4,1,2
Яблоки,3,1,2,0,2,4,2,5,1,5,1,3
Виноград,5,4,1,4,1,4,4,2,5,2,5,3
Шоколад,1,0,2,5,2,5,4,3,2,3,0,4
Чай зеленый,-1,-3,0,-3,2,3,0,-2,-3,2,0,-4
Орехи грецкие,5,5,3,4,2,0,2,5,3,3,5,3
